Record;Date;Time;Stump;Exposition;INPUT1;INPUT2;D;FAPAR;;
0000329;2024-07-13;12:36:50.663;19;N;765,44;38,888;0,050805;0,9492;;
0000330;2024-07-13;12:36:52.663;19;N;764,22;25,749;0,033693;0,96631;;
0000331;2024-07-13;12:36:55.663;19;N;767,97;88,514;0,11526;0,88474;;
0000332;2024-07-13;12:36:56.663;19;N;772,56;87,14;0,11279;0,88721;;
0000333;2024-07-13;12:36:59.663;19;N;770,77;34,564;0,044843;0,95516;;
0000334;2024-07-13;12:37:38.661;19;S;795,47;69,133;0,086908;0,91309;;
0000335;2024-07-13;12:37:40.661;19;S;799,23;36,711;0,045933;0,95407;;
0000336;2024-07-13;12:37:42.661;19;S;805,63;14,562;0,018075;0,98192;;
0000337;2024-07-13;12:37:45.661;19;S;810,21;22,068;0,027237;0,97276;;
0000338;2024-07-13;12:37:47.661;19;S;811,17;10,94;0,013486;0,98651;;
0000339;2024-07-13;12:37:49.660;19;S;812,81;19,217;0,023642;0,97636;;
0000340;2024-07-13;12:37:54.660;19;S;809,75;9,505;0,011738;0,98826;;
0000341;2024-07-13;12:37:57.660;19;S;812,4;7,5775;0,0093274;0,99067;;
0000342;2024-07-13;12:38:01.660;19;S;815,75;5,2678;0,0064576;0,99354;;
0000343;2024-07-13;12:39:49.655;20;N;1045,4;20,72;0,019821;0,98018;;
0000344;2024-07-13;12:39:51.655;20;N;1039,3;93,562;0,090025;0,90998;;
0000345;2024-07-13;12:39:53.655;20;N;1112,1;22,936;0,020624;0,97938;;
0000346;2024-07-13;12:39:55.654;20;N;1428,8;34,396;0,024074;0,97593;;
0000347;2024-07-13;12:39:57.654;20;N;1373,7;47,032;0,034237;0,96576;;
0000348;2024-07-13;12:39:59.654;20;N;1148,3;103,92;0,090495;0,90951;;
0000349;2024-07-13;12:40:00.654;20;N;1134,9;99,642;0,087801;0,9122;;
0000350;2024-07-13;12:40:02.654;20;N;1097,3;82,816;0,075473;0,92453;;
0000351;2024-07-13;12:40:04.654;20;N;1119,8;124,42;0,11111;0,88889;;
0000352;2024-07-13;12:42:08.648;20;S;1250,7;92,101;0,073637;0,92636;;
0000353;2024-07-13;12:42:10.648;20;S;1198;29,797;0,024873;0,97513;;
0000354;2024-07-13;12:42:12.648;20;S;1159,3;32,151;0,027734;0,97227;;
0000355;2024-07-13;12:42:14.648;20;S;1140,1;38,888;0,03411;0,96589;;
0000356;2024-07-13;12:42:17.648;20;S;1101,5;26,131;0,023723;0,97628;;
0000357;2024-07-13;12:42:19.648;20;S;1083,5;10,346;0,0095482;0,99045;;
0000358;2024-07-13;12:42:21.647;20;S;1073,7;96,613;0,089978;0,91002;;
0000359;2024-07-13;12:42:27.647;20;S;1055,3;27,984;0,026518;0,97348;;
0000360;2024-07-13;12:42:34.647;20;S;1022,6;38,557;0,037706;0,96229;;
